element,domain,node0,node1,node2,area_m2,quality,heat_flux_W_m2,electric_field_V_m,joule_W_m3
0,"plate",932,893,894,0.0000027063293750000006,0.9999999999999998,29751.4434072174,8.353278820949289,799436.0185993277
1,"plate",645,614,615,0.0000027063293749999964,1.0000000000000002,26961.659572546156,8.253226817724554,774425.2005212114
2,"plate",614,645,644,0.0000027063293749999964,1.0000000000000002,22015.88054972234,6.348093056388777,460086.788989585
3,"padL",225,3,4,0.0000013531646875,0.7999999979024509,38227.2843246156,1.2260506589408382,120256.01746314109
4,"plate",401,402,440,0.0000027063293750000023,1.0000000000000002,18419.70788760336,10.740953769805948,1261824.2353132889
5,"plate",9,230,8,0.0000013531646874999992,0.7999999979024515,30148.794074874106,9.139370255175884,949517.4401068451
6,"plate",932,894,933,0.0000027063293750000006,1,29811.524915452857,8.820215889344292,887083.5070408068
7,"padL",2,3,224,0.0000013531646874999997,0.7999999979024512,38020.7584900284,1.2116067019972432,117439.26402597092
8,"padL",3,225,224,0.0000013531646874999992,0.7999999979024515,38068.32670688425,1.217803937402309,118643.71439620538
9,"padR",1076,152,153,0.0000015625000000000634,0.8020705700332902,37543.893577206276,1.2064106460716246,116434.13175639638
10,"plate",371,409,370,0.000002706329375000003,1,33271.60560652881,8.544598959436646,846574.8836616114
11,"plate",409,408,370,0.000002706329375000003,1,32200.984475290887,8.54484251262769,842586.8883419354
12,"plate",422,423,461,0.0000027063293749999985,1,29949.281621388494,8.913466819814616,905292.2288865212
13,"plate",426,388,427,0.0000027063293750000023,1.0000000000000002,23423.538518810034,10.698359916298166,1263231.8764814779
14,"plate",465,426,427,0.0000027063293750000023,1.0000000000000002,23419.84747124044,10.730621363978727,1271259.6680618883
15,"plate",423,422,384,0.0000027063293749999985,1,29895.165558550834,8.874898100174637,896967.5004775454
16,"plate",1084,1123,1122,0.0000027063293750000006,1,34539.008213178524,8.581903511292753,857864.6896040782
17,"plate",1123,98,1122,0.0000032822715625000276,0.9816710084322945,34540.02260067101,8.580375233139327,857499.0794822639
18,"plate",871,872,910,0.0000027063293749999955,1,14638.91440681295,12.173737868946425,1608818.5801347771
19,"padL",417,378,418,0.0000027063293749999993,1,36311.93795119093,1.1557860632806258,106867.31392589815
20,"padL",378,379,418,0.0000027063293749999985,1,36926.55692570434,1.181510382241256,111677.34266751031
21,"padL",379,132,418,0.0000030764235937500005,0.9681456674049904,36316.961516702075,1.1635326841921387,108304.66457466906
22,"plate",316,278,317,0.0000027063293750000023,1.0000000000000002,5802.375818596359,10.377349835332739,1162029.989998515
23,"plate",496,534,134,0.0000019175645312499965,0.8066013663634778,33676.538328589246,7.445321488162673,657177.2781538699
24,"plate",133,496,134,0.0000031250000000000014,0.989730236475148,33947.68893810472,7.541044064601433,675288.7634759175
25,"plate",292,330,291,0.0000027063293750000023,1.0000000000000002,30142.10611904868,9.128765737078773,947516.6674383717
26,"plate",276,237,238,0.0000027063293750000023,1.0000000000000002,11754.862074443745,10.416552056645026,1176645.4291967612
27,"plate",237,16,238,0.0000013531646875000012,0.7999999979024508,11776.97111440263,10.41654161866512,1176645.41624719
28,"plate",496,133,457,0.00000193259421875,0.8137192700216087,34436.72021702193,7.616422537435801,687560.3406776373
29,"plate",133,132,457,0.0000015624999999999984,0.8518140591067875,35131.631369522394,7.7278852698167615,710256.6030473444
30,"plate",160,750,161,0.0000031249999999999273,0.9864353638732148,29581.960463588228,6.516764803757531,504824.1854132685
31,"plate",162,161,726,0.0000015624999999999334,0.8631845582286612,29478.003637792208,6.425432760784974,491553.23643608484
32,"plate",750,725,726,0.0000027063293749999955,1,28331.141523543825,6.39399769067192,483120.09225074266
33,"plate",161,750,726,0.0000020447767187499404,0.863428882888531,29600.407086233474,6.498325795246694,501225.8154126646
34,"padL",132,133,456,0.0000015625000000000007,0.8518140591067882,35678.46340831615,1.1448093063212867,104847.06782718605
35,"padL",418,132,456,0.00000233623515625,0.9584723839534706,36395.472598748864,1.166021500807732,108768.49122767325
36,"plate",212,211,650,0.000002664481934692967,0.916535489310185,1720.4483057116804,5.801699884676291,362737.7028195152
37,"plate",154,153,1036,0.000003124999999999936,0.9774423572995152,36361.710719623254,8.114823285849887,781444.3967164387
38,"plate",540,541,579,0.0000027063293750000044,1,29837.50005395236,10.712089818530092,1286710.0444880226
39,"plate",541,580,579,0.0000027063293750000044,1,30545.46543190614,11.121843575326055,1382541.852898628
40,"plate",434,473,472,0.0000027063293750000023,1.0000000000000002,351.08920883899555,9.591716511763053,991121.9901336298
41,"padR",48,49,636,0.0000015624999999999313,0.6405677381290941,33661.072221866925,1.053122587482841,88725.37474132433
42,"padR",152,1076,1114,0.0000025756298437500683,0.9951225755370727,37941.658860900236,1.2168943068073383,118466.540315209
43,"plate",894,893,855,0.0000027063293749999917,0.9999999999999998,29836.19396009712,8.40242855601998,809500.1557897038
44,"padR",412,413,450,0.0000027063293750000023,1.0000000000000002,36926.556926625664,1.1815103822343371,111677.34266620234
45,"plate",144,813,852,0.0000028821179687500035,0.9921387542565807,33252.59431078378,7.394396422759421,648334.2609994905
46,"plate",402,364,403,0.000002706329375000003,1,21369.426820844707,10.580000872839506,1231146.9523051928
47,"padR",413,412,373,0.000002706329375000003,1,36910.73407648474,1.1807966019613392,111542.44921627562
48,"plate",985,946,947,0.0000027063293749999955,1,6863.570003604331,10.267312336835055,1138349.5908332018
49,"plate",946,908,947,0.0000027063293750000044,0.9999999999999998,6954.4694062599,10.307251322346767,1147120.680557591
50,"padL",889,928,888,0.0000027063293750000006,1,35134.6119116823,1.1212882119960803,100582.98034890933
51,"plate",713,689,714,0.000002706329375,1,23461.209115138958,5.874898368537368,401459.34712735325
52,"plate",689,690,714,0.000002706329375,1,21709.819290798445,5.565876925353572,359118.8161092002
53,"plate",357,358,396,0.000002706329375000003,1,1476.0231195324513,10.245946052777676,1131060.9616141678
54,"padR",633,602,634,0.0000027063293750000044,0.9999999999999998,32450.4505510946,1.0343339174192405,85587.73221790657
55,"padR",925,57,58,0.0000015624999999999291,0.8137250602214025,35585.92681562877,1.1144643947345025,99362.47097047529
56,"plate",764,184,183,0.0000017657606441828895,0.8717143999822333,31690.88048310267,10.13791273366969,1164186.4874381635
57,"plate",1084,1045,1046,0.0000027063293749999917,0.9999999999999998,34170.44081386988,8.46218280362029,834308.889105149
58,"plate",724,725,749,0.0000027063293749999955,1,26196.722790649703,6.232826333656009,455232.7001073836
59,"plate",748,724,749,0.0000027063293749999955,0.9999999999999998,25566.932224066637,6.2644171156489215,457997.1252484559
60,"plate",725,750,749,0.0000027063293749999955,1,27746.24348758336,6.452097455354051,489792.391148726
61,"plate",750,776,749,0.0000027063293750000044,0.9999999999999998,27801.507362869703,6.460809951124277,491007.00190432917
62,"plate",396,358,397,0.000002706329375000003,1,2799.8193384250712,10.158854770630368,1112238.8273685225
