node,x_m,y_m,temperature_K,potential_V
0,0,0,293.15,0.8
1,0.0025,0,294.1036111318543,0.7970069898371408
2,0.005,0,295.0539619563573,0.7940021885258932
3,0.0075,0,296.00447733012385,0.79097321056535
4,0.01,0,296.9601418092378,0.7879081566841302
5,0.012499999999999999,0,302.7890542313525,0.7669974058702257
6,0.015,0,308.3393043201268,0.7457200823029463
7,0.017499999999999998,0,313.60755636618086,0.7239852935889101
8,0.02,0,318.59947042129414,0.7017237635016067
9,0.0225,0,323.30977826528346,0.678876865026477
10,0.025,0,327.7241854666521,0.6554087426041865
11,0.027499999999999997,0,331.82003611794954,0.6313161307739013
12,0.03,0,335.5681535262549,0.6066354986277049
13,0.032499999999999994,0,338.93616574160825,0.5814443303627024
14,0.034999999999999996,0,341.8928794248093,0.5558539371001586
15,0.0375,0,344.41262441703594,0.5299936564340654
16,0.04,0,346.478240789158,0.5039896794498393
17,0.042499999999999996,0,348.08175006156273,0.47794433891474253
18,0.045,0,349.2226179198382,0.4519219056766545
19,0.047499999999999994,0,349.9044087506952,0.42594470328667416
20,0.049999999999999996,0,350.1311161723956,0.3999999999994403
21,0.052500000000000005,0,349.9044087585144,0.37405529671220905
22,0.05499999999999999,0,349.2226179339562,0.34807809432223796
23,0.057499999999999996,0,348.08175007938576,0.32205566108417155
24,0.06,0,346.47824080754987,0.2960103205491113
25,0.06249999999999999,0,344.41262443282017,0.27000634356493053
26,0.06499999999999999,0,341.89287943537204,0.24414606289888524
27,0.06749999999999999,0,338.936165745463,0.21855566963639073
28,0.06999999999999999,0,335.5681535232088,0.19336450137143718
29,0.0725,0,331.82003610889285,0.16868386922531467
30,0.075,0,327.7241854532993,0.14459125739520534
31,0.0775,0,323.30977824991885,0.12112313497308906
32,0.08,0,318.5994704063497,0.09827623649812947
33,0.0825,0,313.60755635376125,0.07601470641091297
34,0.08499999999999999,0,308.3393043117839,0.05427991769692269
35,0.0875,0,302.78905422812596,0.03300259412966552
36,0.09,0,296.9601418106968,0.01209184331578241
37,0.09249999999999999,0,296.00447733169506,0.009026789434566557
38,0.09499999999999999,0,295.0539619574771,0.005997811474037248
39,0.09749999999999999,0,294.1036111324205,0.0029930101628155735
40,0.09999999999999998,0,293.15,0
41,0.1,0.0025,293.15,0
42,0.1,0.005,293.15,0
43,0.1,0.0075,293.15,0
44,0.1,0.01,293.15,0
45,0.1,0.0125,293.15,0
46,0.1,0.015,293.15,0
47,0.1,0.0175,293.15,0
48,0.1,0.02,293.15,0
49,0.1,0.0225,293.15,0
50,0.1,0.025,293.15,0
51,0.1,0.027499999999999997,293.15,0
52,0.1,0.03,293.15,0
53,0.1,0.032499999999999994,293.15,0
54,0.1,0.035,293.15,0
55,0.1,0.037500000000000006,293.15,0
56,0.1,0.04,293.15,0
57,0.1,0.0425,293.15,0
58,0.1,0.045,293.15,0
