probe,x_m,y_m,time_s,temperature_K,potential_V
"Midpoint",0.05,0.03,0,293.15,
"Midpoint",0.05,0.03,10,293.1539447965304,
"Midpoint",0.05,0.03,20,293.17374612526623,
"Midpoint",0.05,0.03,30,293.22819186753236,
"Midpoint",0.05,0.03,40,293.33759903065567,
"Midpoint",0.05,0.03,50,293.51828186181183,
"Midpoint",0.05,0.03,60,293.77952198517545,
"Midpoint",0.05,0.03,70,294.12328293779797,
"Midpoint",0.05,0.03,80,294.5456316353193,
"Midpoint",0.05,0.03,90,295.0387373240284,
"Midpoint",0.05,0.03,100,295.5927271560088,
"Midpoint",0.05,0.03,110,296.19709804925526,
"Midpoint",0.05,0.03,120,296.8416492136273,
"Midpoint",0.05,0.03,130,297.5170176681098,
"Midpoint",0.05,0.03,140,298.21492980032906,
"Midpoint",0.05,0.03,150,298.92826884212576,
"Midpoint",0.05,0.03,160,299.6510341384711,
"Midpoint",0.05,0.03,170,300.3782439752773,
"Midpoint",0.05,0.03,180,301.1058148044091,
"Midpoint",0.05,0.03,190,301.83043631489215,
"Midpoint",0.05,0.03,200,302.54945295379855,
